Arabic,English
الجدیدان,Day/Night
الأجدّان,Day/Night
اَلقَرابَۃُ,Relationship
اَلاُخوَۃُ,Brotherhood
عَائِلَۃٌ,Family
والِدَین,Parents
أبٌّ,Father
أُمٌّ,Mother
بِنتُ الاِبنٌ,Grand-daughter
بِنتٌ,Daughter
أَخٌ,Brother
اِبنُ الاَخِ,Nephew
بِنتُ الاَخِ,Niece
اُختٌ,Sister
اِبنُ الاُختِ,Nephew
بِنتُ الاُختِ,Niece
عَمِّ,Uncle
زَوجَۃُ العَمِّ,Aunt
اِبنُ العَمِّ,Cousin
بِنتُ العَمِّ,Cousin
خَالٌ,Uncle
زَوجَۃُ الخَالِ,Aunt
اِبنُ الخَالِ,Cousin
بِنتُ الخَالِ,Cousin
زَوجٌ,Husband
زَوجَۃٌ,Wife
وَالِدُ الزَّوجِ,Father In-law
وَالِدَۃُ الزَّوجِ,Mother in-law
خَتَنٌ,Son in-law
کَنَّۃٌ,Daughter in-law
الرَّبِیبَۃٌ,Step Daughter
الرَّبِیبٌ,Step Son
أخُّ الرَّضَاعَۃِ,Foster Brother
زَمِیلَۃٌ,Friend
الجَارٌ,Neighbour
صباح,Morning
مساء,Evening
النھار,Day
اللیل,Night
الآن,Now
الامس,Yesterday
قبل الامس,Day Before yesterday
غدا,Tomorrow
بعد الغد,Day After Tomorrow
الساعۃ,Hour
الدقیقۃ,Minute
ثانیۃ,Second
لحظۃ,Short Time
دھن اللیل,Short Part of Night
نصف اللیل,Midnight
نصف النھار,Midday Noon
الاسبوع,Week
شھر,Month
وَلَدٌ,Boy
بنت,Girl
عَرِیس,Bridegroom
عَرِیسَۃٌ,Bride
أعزب,Unmarried
متزوّج,Married
ارمل,Widower
عالم,Educated
جاھل,Uneducated
مسرور,Pleased
محزون,Sad
قویٌّ,Powerful
ضعیفٌ,Weak
حیٌّ,Live
میّتٌ,Dead body
جمیلٌ,Beautiful
یشیحٌ,Ugly
صحیحٌ,Healthy
مریضٌ,Sick
ظریفٌ,Cheerful
لطیفٌ,Handsome
طویلٌ,Tall
قصیرٌ,Small
سمینٌ,Fat
ثخینٌ,Abdominal
نحیف,Slim
لیِّنٌ,Soft
رقیقٌ,Slim
صلبٌ,Hard
ناعمٌ,Tender
أملسٌ,Tender
خشینٌ,Rough
کبیرٌ,Large
مُتوسِّطٌ,Middle
صغِیرٌ,Small
واسِعٌ,Wide
معوَّجٌ,Bent
بصیرٌ,Seiner
اعمی,Blind
مستقیمٌ,Straight
ضخیمٌ,Heavy
خفیفٌ,Weight Lerr
نظیفٌ,Clean
وسخٌ,Dirty
أعینٌ,Large Eyed
أحورٌ,Black Eyed
شُجَاعٌ,Brave
الجَسَارَۃُ,Bravery
قَانِعٌ,Enduring
صَابِرٌ,Enduring
صَادِقٌ,TRUE
اَمِینٌ,Honest
مَبسُوطٌ,Cheerful
سحر,Dawn
فجر,10th hour of night/Fajar
یوم السّبت,Saturday
یوم الأحد,Sunday
یوم الاثنین,Monday
یوم الثلثاء,Tuesday
یوم الاربعاء,Wednesday
یوم الخمیس,Thursday
یوم الجمعۃ,Friday
محرّم,Muharram
صفر,Safar
ربیع الاوّل,Rabi-ul-Awwal
ربیع الثانی,Rabi-us-Saani
جمادی الاولی,Jamd-il-Awaal
جمادی الثانیّۃ,Jamad-is-Saani
رجب,Rajab
شعبان,Sha’ban
رمضان المبارک,Ramzan
شوّال,Shawwal
ذی القعدۃُ,Ze-Qadah
ذی الحجۃ,Zil-Hajah
ینابر,January
فبرائر,February
مارس,March
أبریل,April
مایو,May
یونیو,June
یولیو,July
اغُسطُس,August
ستمبر,September
اُکتوبر,October
نوِمبر,November
دیسمبر,December
